Name,Address,Address2,Address3,City,State,Zip,License #,Licensure Date,Expiration Date,Role
ACCURATE TITLE GROUP LLC,6000 FREEDOM SQUARE SUITE 300,,,INDEPENDENCE,OH,44131,134,6/1/2012,11/30/2024,AMC Contact
MIDWEST APPRAISAL MANAGEMENT GROUP,2050 CELADON DR NE,SUITE C,,GRAND RAPIDS,MI,49525,190,1/31/2013,11/30/2026,AMC Contact
NDA VALUATIONS LLC,3913 W NORTH B ST,,W. NORTH B STREET,TAMPA,FL,33609,75,1/3/2012,11/30/2026,AMC Contact
INTERNATIONAL VALUATION GROUP LLC,600 W BROADWAY,SUITE 950,,SAN DIEGO,CA,92101,90,1/19/2012,11/30/2026,AMC Contact
TENNESSEE APPRAISAL MANAGEMENT LLC,PO BOX 339,,,ARRINGTON,TN,37014,123,4/11/2012,11/30/2026,AMC Contact
LENDERS ALLIES LLC,3030 N ROCKY POINT DR W 150,,,TAMPA,FL,33607,158,8/20/2012,11/30/2026,AMC Contact
EVALUATION ZONE INC,6103 W MONTROSE AVE,,,CHICAGO,IL,60634,151,7/27/2012,11/30/2026,AMC Contact
APPRAISAL MANAGEMENT RESOURCES LLC,185 CARDNELL RD,,,BOSSIER CITY,LA,71111,145,6/28/2012,11/30/2026,AMC Contact
APPRAISERVENDOR.COM LLC,"107 N. STATE ROAD 135, SUITE 108",,,GREENWOOD,IN,46142,152,7/30/2012,11/30/2026,AMC Contact
PROPERTYRATE LLC,1855 W KATELLA AVE,SUITE 100,,ORANGE,CA,92867,208,6/20/2013,11/30/2026,AMC Contact
AAA APPRAISAL MANAGEMENT COMPANY LLC,"2764 LAKE SAHARA DR., STE 111",,,LAS VEGAS,NV,89117,177,10/30/2012,11/30/2026,AMC Contact
E STREET APPRAISAL MANAGEMENT LLC,6041 WALLACE ROAD EXTENSION 210,,,WEXFORD,PA,15090,186,12/10/2012,11/30/2026,AMC Contact
NATIONAL REAL ESTATE INFORMATION SERVICES OF ALABAMA INC,2880 CRESTWOOD BLVD,,,BIRMINGHAM,AL,35210,174,10/12/2012,11/30/2024,AMC Contact
BRIDGE APPRAISAL MANAGEMENT CORP,602 HIGGINS AVE,STE 1 308,,BRIELLE,NJ,8730,188,1/7/2013,11/30/2026,AMC Contact
CENTRAL STATE APPRAISAL SERVICES LLC,1700 MAIN STREET SUITE 5,,,LAKE COMO,NJ,7719,195,3/18/2013,11/30/2026,AMC Contact
ABSOLUTE VALUE MANAGEMENT CORP,1 LINCOLN STREET,SUITE 2900,,BOSTON,MA,2111,220,9/3/2013,11/30/2024,AMC Contact
CORPORATE SETTLEMENT SOLUTIONS LLC,25221 COUNTRY CLUB BLVD STE# 235,,,NORTH OLMSTED,OH,44070,191,3/5/2013,11/30/2026,AMC Contact
CORE VALUATION MANAGEMENT INC,420 EXCHANGE,#270,,IRVINE,CA,92602,204,5/28/2013,11/30/2026,AMC Contact
APPRAISAL HUB LLC,115 LINCOLN ROAD,,,WALPOLE,MA,2081,193,3/11/2013,11/30/2026,AMC Contact
HOME BASE APPRAISAL MANAGEMENT LLC,13894 SOUTH BANGERTER PARKWAY,SUITE 200,,DRAPER,UT,84020,197,4/12/2013,11/30/2026,AMC Contact
MOUNTAINSEED APPRAISAL MANAGEMENT LLC,2100 POWERS FERRY RD SE STE 300,,,ATLANT,GA,30339,194,3/18/2013,11/30/2026,AMC Contact
"RBH APPRAISAL MANAGEMENT, LLC",10370 RICHMOND AVENUE,SUITE 900,,HOUSTON,TX,77042,199,4/19/2013,11/30/2026,AMC Contact
NADLAN VALUATION INC,129 NORTH COUNTY LINE 252,,,JACKSON,NJ,8527,206,6/11/2013,11/30/2026,AMC Contact
HKB NET LLC,3904 E POWELL WAY,,,GILBERT,AZ,85298,207,6/19/2013,11/30/2026,AMC Contact
FIRST LOOK APPRAISALS LLC,1 E WACKER DRIVE,STE 2900,,CHICAGO,IL,60601,211,7/8/2013,11/30/2024,AMC Contact
@ HOME VMS,77 VAN NESS AVE STE 101,,,SAN FRANCISCO,CA,94102,218,8/20/2013,11/30/2026,AMC Contact
1ST NATIONAL APPRAISAL SOURCE INC,39555 ORCHARD HILLS PL STE 600,,,NOVI,MI,48375,217,8/20/2013,11/30/2026,AMC Contact
NORMAN HUBBARD & ASSOCIATES INC,690 NORTH BROADWAY SUITE 102,,,WHITE PLAINS,NY,10603,215,8/9/2013,11/30/2026,AMC Contact
CHANGE AMC LLC,17351 W SUNSET BLVD STE 1C,,,PACIFIC PALISADES,CA,90272,245,3/6/2014,11/30/2026,AMC Contact
NATIONWIDE VALUATION SOLUTIONS LLC,77 MILFORD DR #278,,,HUDSON,OH,44236,225,9/23/2013,11/30/2026,AMC Contact
FRISCO LENDER SERVICES LLC,"12820 COLDWATER ROAD, SUITE C",,,FORT WAYNE,IN,46845,233,10/31/2013,11/30/2026,AMC Contact
TIMIOS APPRAISAL MANAGEMENT INC,5716 CORSA AVE,S,,WESTLAKE VILLAGE,CA,91362,231,10/24/2013,11/30/2026,AMC Contact
KARIS MANAGEMENT GROUP LLC,7422 CARMEL EXECUTIVE PARK DR,SUITE 109,,CHARLOTTE,NC,28226,232,10/25/2013,11/30/2026,AMC Contact
MORTGAGE MANAGEMENT CONSULTING INC,"194 WOOD AVE SOUTH, 9TH FL SUITE 1",,,ISELIN,NJ,8830,246,3/11/2014,11/30/2024,AMC Contact
ABF REAL ESTATE INC,13 VIA JUBILAR,,,SAN CLEMENTE,CA,92673,236,11/19/2013,11/30/2026,AMC Contact
FIDELITY RESIDENTIAL SOLUTIONS INC,125 WEST STREET SUITE 200,,,ANNAPOLIS,MD,21401,243,2/11/2014,11/30/2026,AMC Contact
VANDALAY INDUSTRIES,4263 TIERRA REJADA RD STE 112,,,MOORPARK,CA,93021,247,3/12/2014,11/30/2026,AMC Contact
APPRAISAL PROCESS SYSTEMS INC,10 CROSSINGS BLVD,,,BLUFFTON,SC,29910,252,5/28/2014,11/30/2026,AMC Contact
"MYAMC, LLC",14801 QUORUM DRIVE,SUITE 260,,DALLAS,TX,75254,258,6/30/2014,11/30/2026,AMC Contact
LOGICAL APPRAISAL MANAGEMENT COMPANY LLC,PO BOX 6286,,,LAKELAND,FL,33807,262,8/11/2014,11/30/2026,AMC Contact
SOUTHEAST FL REAL ESTATE APPRAISAL CO,811 N 20TH COURT,,,HOLLYWPPD,FL,33020,253,6/3/2014,11/30/2026,AMC Contact
K & M TITLE LLC,1121 W. PRICE BLVD,#1086,,NORTH PORT,FL,34288,251,5/2/2014,11/30/2026,AMC Contact
HOME VALUE REAL ESTATE LLC,11332 86TH AVE N,,,MAPLE GROVE,MN,55369,257,6/26/2014,11/30/2026,AMC Contact
FIRST AMERICAN MORTGAGE SOLUTIONS LLC,4 FIRST AMERICAN WAY 4TH FLOOR,LEGAL DEPARTMENT,,SANTA ANA,CA,92707,264,8/18/2014,11/30/2026,AMC Contact
CUSHMAN & WAKEFIELD GLOBAL SERVICES INC,175 BROADHOLLOW ROAD SUITE 235,,,MELVILLE,NY,11747,274,11/13/2014,11/30/2026,AMC Contact
HEARTLAND VALUATION SERVICE LLC,2139 TAPO ST 220,,,SIMI VALLEY,CA,93063,270,10/29/2014,11/30/2026,AMC Contact
SWBC LENDING SOLUTIONS LLC,9311 SAN PEDRO SUITE 600,,,SAN ANTONIO,TX,78216,275,11/14/2014,11/30/2026,AMC Contact
PALM BEACH APPRAISAL MANAGEMENT CO LLC,330 SOUTH STATE STREET,,,NEWTOWN,PA,18977,277,1/26/2015,11/30/2026,AMC Contact
EFFORT APPRAISAL MANAGEMENT LLC,5267 WARNER AVE 283,,,HUNTINGTON BEACH,CA,92649,280,2/6/2015,11/30/2026,AMC Contact
SITUSAMC REAL ESTATE VALUATION SERVICES LLC,1075 JORDAN CREEK PARKWAY SUITE 240,,,WEST DES MOINES,IA,50266,281,2/19/2015,11/30/2026,AMC Contact
NORTH COAST VALUATIONS LLC,26777 LORAIN RD,SUITE 410,,NORTH OLMSTED,OH,44070,282,2/23/2015,11/30/2026,AMC Contact
IREM SOLUTIONS INC,8430 ENTERPRISE CIR,,,LAKEWOOD RANCH,FL,34202,285,4/23/2015,11/30/2026,AMC Contact
AMC DIRECT CORPORATION,"3133 W FRYE ROAD, SUITE 101",,,CHANDLER,AZ,85226,289,7/24/2015,11/30/2026,AMC Contact
ARMR INC,1400 S INTERNATIONAL PARKWAY,SUITE 1000,,LAKE MARY,FL,32746,291,10/6/2015,11/30/2026,AMC Contact
COAST TO COAST APPRAISAL SERVICES INC,PO BOX 808,,,LINDENHURST,NY,11757,292,12/2/2015,11/30/2026,AMC Contact
TIP TOP APPRAISAL INC,1635 DATE PALM DRIVE,,,PALMDALE,CA,93551,294,12/7/2015,11/30/2026,AMC Contact
CLEAR VIEW VALUATION SERVICES LLC,1535 ATKINSON ROAD,,,LAWRENCEVILLE,GA,30043,297,12/31/2015,11/30/2026,AMC Contact
KAIROS APPRAISAL SERVICES LLC,3500 188TH ST SW,SUITE 465,,LYNNWOOD,WA,98037,295,12/8/2015,11/30/2026,AMC Contact
AMERIMAC APPRAISAL MANAGEMENT LLC,102 W MAIN STREET 507,,,NEW ALBANY,OH,43054,296,12/18/2015,11/30/2026,AMC Contact
RAPID APPRAISAL MANAGEMENT SYSTEM INC,2033 SAN ELIJO AVE 138,,,CARDIFF BY THE SEA,CA,92007,300,2/23/2016,11/30/2026,AMC Contact
SINGLESOURCE PROPERTY SOLUTIONS LLC,1000 NOBLE ENERGY DR SUITE 300,,,CANONSBURG,PA,15317,302,3/14/2016,11/30/2026,AMC Contact
ARC APPRAISERS LLC,100 CARR 115 UNIT 1432,,,RINCON,PR,677,308,8/4/2016,11/30/2026,AMC Contact
ABSOLUTE LENDING LOGISTICS LLC,PO Box 249,,,GREENWOOD,IN,46142,309,8/11/2016,11/30/2026,AMC Contact
"OPTEON AMC, INC.",300 MADISON AVE,#900,,TOLEDO,OH,43604,312,9/8/2016,11/30/2026,AMC Contact
LENDERS 1ST CHOICE AMC LLC,"4500 SALISBURY RD., SUITE 480",,,JACKSONVILLE,FL,32216,310,8/15/2016,11/30/2026,AMC Contact
AMERICAN VALUATION CORP,1318 N WOLCOTT AVE SUITE 1,,,CHICAGO,IL,60622,311,8/17/2016,11/30/2026,AMC Contact
EXACTUS APPRAISAL MANAGEMENT LLC,1001 BOARDWALK SPRINGS PLACE,SUITE 111,,O FALLON,MO,63368,314,12/9/2016,11/30/2026,AMC Contact
JLL VALUATION & ADVISORY SERVICES LLC,200 EAST RANDOLPH DRIVE,,,CHICAGO,IL,60601,317,1/13/2017,11/30/2026,AMC Contact
APPRAISAL MARK LLC,2701 E OSBORN RD,SUITE 103,,PHOENIX,AZ,85016,319,1/31/2017,11/30/2026,AMC Contact
APPLIED VALUATION SERVICES INC,61 MCMURRAY ROAD,SUITE 400,,PITTSBURGH,PA,15241,320,2/23/2017,11/30/2026,AMC Contact
MARKETWISE VALUATION SERVICES INC,7100 BISCAYNE BLVD,SUITE 207,,MIAMI,FL,33138,318,1/27/2017,11/30/2026,AMC Contact
HERITAGE VALUATION SERVICES LLC,1351 W TOWNE SQUARE RD,,,MEQUON,WI,53092,324,5/17/2017,11/30/2026,AMC Contact
EHS APPRAISAL MANAGEMENT LLC,94 OTTAWA RD SOUTH,,,MARLBORO,NJ,7746,322,4/11/2017,11/30/2026,AMC Contact
VALUATION SERVICES AMC LLC,36 FRANKLIN TURNPIKE,SUITE 3,,WALDWICK,NJ,7463,325,5/22/2017,11/30/2026,AMC Contact
PROPERTY VALUATION NETWORK INC,210 W ALTON AVE,,,SANTA ANA,CA,92707,331,8/16/2017,11/30/2026,AMC Contact
VALU8TOR MANAGEMENT GROUP INC,1577 MINORCA DR,,,COSTA MESA,CA,92626,327,6/5/2017,11/30/2026,AMC Contact
SERVICE 1ST APPRAISALS LLC,902 S RANDALL ROAD SUITE C,NO 337,,SAINT CHARLES,IL,60174,328,6/23/2017,11/30/2026,AMC Contact
AJM MANAGEMENT & SOLUTIONS LLC,2871 PONKAN RIDGE BLVD,,,APOPKA,FL,32712,333,9/20/2017,11/30/2026,AMC Contact
"SAINT LOUIS APPRAISAL PARTNERS, LIMITED PARTNERSHIP",10097 MANCHESTER RD,SUITE 201A,,SAINT LOUIS,MO,63122,336,1/26/2018,11/30/2026,AMC Contact
EAST2WEST VALUATION SERVICES INC,33302 SEA BRIGHT DR,,,DANA POINT,CA,92629,335,12/8/2017,11/30/2024,AMC Contact
RRR APPRAISAL SERVICES INC,3217 S DECKER LAKE DRIVE,,,SALT LAKE CITY,UT,84119,339,4/2/2018,11/30/2026,AMC Contact
SUNTENDER VALUATIONS INC,5776 STONERIDGE MALL ROAD SUITE 325,,,PLEASANTON,CA,94588,337,3/9/2018,11/30/2026,AMC Contact
ELITE EVALUATIONS LLC,2304 DONELLA CIRCLE,,,LOS ANGELES,CA,90077,340,4/2/2018,11/30/2026,AMC Contact
CLASS VALUATION LLC,2600 BELLINGHAM SUITE 100,,,TROY,MI,48083,342,5/31/2018,11/30/2026,AMC Contact
RRR APPRAISAL SERVICES MANAGEMENT INC,3217 S DECKER LAKE DRIVE,,,SALT LAKE CITY,UT,84119,343,6/6/2018,11/30/2026,AMC Contact
A1 AMC INC,18484 US HWY 18 #280,,,APPLE VALLEY,CA,92307,346,7/6/2018,11/30/2026,AMC Contact
ALL PRO APPRAISAL MANAGEMENT INC,29 VALLEY DRIVE 5301,,,GREENWICH,CT,6831,348,9/17/2018,11/30/2026,AMC Contact
TRUEVALUATION FL CO,52 TUSCAN WAY SUITE 202 47,,,SAINT AUGUSTINE,FL,32092,351,10/22/2018,11/30/2026,AMC Contact
ALTUS GROUP US INC,33 YONGE ST STE 500,,,TORONTO,ON,M5E 1G4,353,11/27/2018,11/30/2026,AMC Contact
LENDERS CHOICE INC,3460 TRAILBLAZER WAY,,,CARLSBAD,CA,92010,355,2/8/2019,11/30/2026,AMC Contact
AREA VALUATIONS LLC,515 BOUNDARY RD,,,PITMAN,NJ,8071,356,2/8/2019,11/30/2026,AMC Contact
COUNTRYSIDE APPRAISAL MANAGEMENT CORPORATION,188 STUART DR.,,,NEW ROCHELLE,NY,10804,360,6/3/2019,11/30/2026,AMC Contact
FASTAPP INC,2081 BUSINESS CENTER DRIVE,SUITE 280,,IRVINE,CA,92612,361,6/5/2019,11/30/2026,AMC Contact
ASSET MANAGEMENT OUTSOURCING SERVICES LLC,5655 PEACHTREE PARKWAY SUITE 213,,,NORCROSS,GA,30092,367,11/21/2019,11/30/2026,AMC Contact
MTS GROUP LLC,12 SHEILA CT,,,PITTSBURGH,PA,15227,365,9/26/2019,11/30/2026,AMC Contact
NORTH ATLANTIC APPRAISAL COMPANY INC,PO BOX 1191,,,MARION,MA,2738,369,2/7/2020,11/30/2026,AMC Contact
AMERICAN GRID LLC,810 PEACHWOOD BEND DR,,,HOUSTON,TX,77077,377,9/2/2020,11/30/2026,AMC Contact
SIGNATURE VALUATION MANAGEMENT INC,296 16TH PLACE C,,,COSTA MESA,CA,92627,384,2/3/2021,11/30/2026,AMC Contact
ACCUWORTH LLC,"580 S. HIGH ST., STE. 330",,,COLUMBUS,OH,43125,372,7/2/2020,11/30/2026,AMC Contact
R3 APPRAISAL MANAGEMENT LLC,9053 S PECOS RD 2910,,,HENDERSON,NV,89074,376,8/31/2020,11/30/2024,AMC Contact
ASTRO APPRAISAL MANAGEMENT COMPANY LLC,601 N FEDERAL HWY,SUITE 301,,HALLANDALE BEACH,FL,33009,374,8/24/2020,11/30/2026,AMC Contact
"AMROCK, LLC",662 WOODWARD AVE,,,DETROIT,MI,48226,373,8/24/2020,11/30/2026,AMC Contact
ASSETVAL APPRAISAL LLC,805 NORTH CREST DRIVE,,,GRAND JUNCTION,CO,81506-6900,379,10/1/2020,11/30/2026,AMC Contact
PINPOINT VALUATION GROUP LLC,260 KINGS MALL CT 169,,,KINGSTON,NY,12401,383,12/7/2020,11/30/2026,AMC Contact
APPRAISAL MARKETPLACE LLC,PO BOX 3214,,,PLYMOUTH,MA,2361,381,11/9/2020,11/30/2026,AMC Contact
PARTNERS AMC LLC,PO BOX 896,,,BUDA,TX,78610,385,2/9/2021,11/30/2026,AMC Contact
ASCEND APPRAISAL SOLUTIONS GROUP LLC,12081 W ALAMEDA PKWY SUITE 182,,,DENVER,CO,80228,387,4/9/2021,11/30/2026,AMC Contact
ACCELERATED APPRAISAL MANAGEMENT COMPANY LLC,4800 N SCOTTSDALE RD STE 1200,,,SCOTTSDALE,AZ,85251,390,6/9/2021,11/30/2026,AMC Contact
THINK TANK AMC LLC,12412 YORK ST,,,THORNTON,CO,80241,389,5/12/2021,11/30/2026,AMC Contact
"APPRAISAL CONNECTIONS, INC.",2308 CLEMENT STREET,,,SAN FRANCISCO,CA,94121,392,6/14/2021,11/30/2026,AMC Contact
"AMCO CALIFORNIA, LLC",22365 EL TORO RD #316,,,LAKE FOREST,CA,92630,394,6/29/2021,11/30/2026,AMC Contact
GREAT SOUTH BAY APPRAISAL MANAGEMENT COMPANY LLC,27 SUTTON PLACE,,,ISLIP,NY,11751,395,9/2/2021,11/30/2026,AMC Contact
"DIRECT APPRAISAL MANAGEMENT, CORP.",6N510 VALLEY CIRCLE,,,SAINT CHARLES,IL,60174,402,12/21/2021,11/30/2026,AMC Contact
APPRAISAL UNLIMITED MANAGEMENT GROUP,2391 NE LOOP 410 SUITE 305,,,SAN ANTONIO,TX,78217,397,9/17/2021,11/30/2026,AMC Contact
PREFERRED MORTGAGE CHOICE LLC,2973 HARBOR BLVD STE 149,,,COSTA MESA,CA,92626,406,6/6/2022,11/30/2026,AMC Contact
OXFORD AMC LLC,2740 ROUTE 10 WEST SUITE 204,,,MORRIS PLAINS,NJ,7950,400,12/17/2021,11/30/2026,AMC Contact
APPRAISAL SCOUT CORP,2785 E GRAND BLVD,433,,DETROIT,MI,48211,403,2/8/2022,11/30/2026,AMC Contact
TAMARISK APPRAISALS LLC,645 MADISON AVENUE 19TH FLOOR,,,NEW YORK,NY,10022,436,4/25/2024,11/30/2026,AMC Contact
ASAP APPRAISALS & MANAGEMENT SERVICES CORP,1 ANGELA LN,,,LAKE GROVE,NY,11755,404,4/29/2022,11/30/2026,AMC Contact
"L.A.S. HOME VALUE, INC.",500 WEST MAIN STREET SUITE 107,,,BABYLON,NY,11702,405,5/12/2022,11/30/2026,AMC Contact
HALO APPRAISAL MANAGEMENT L.L.C,841 MOUNTAIN AVENUE,SUITE 401,,SPRINGFIELD,NJ,7081,435,1/26/2024,11/30/2026,AMC Contact
BNL APPRAISAL LLC,2 STONEGATE DR,SUITE 201,,MONROE,NY,10950,408,7/12/2022,11/30/2026,AMC Contact
"VISION AMC, LLC",425 TOWN PLAZA AVE,,,PONTE VEDRA,FL,32081,410,8/19/2022,11/30/2026,AMC Contact
"FINSERV SOLUTIONS, INC.",141 VIENNA STREET NE,,,PALM BAY,FL,32907,414,11/16/2022,11/30/2026,AMC Contact
"CALIBER APPRAISAL MANAGEMENT COMPANY, LLC",2369 CARACAS ST,,,LA CRESCENTA,CA,91214,413,11/4/2022,11/30/2026,AMC Contact
HOMETRUST AMC LLC,6241 SW 65TH AVENUE,,,SOUTH MIAMI,FL,33143,415,11/21/2022,11/30/2026,AMC Contact
APPRAISERS FIRST INC,199 BROAD ST,SUITE 1C,,BLOOMFIELD,NJ,7003,422,5/1/2023,11/30/2026,AMC Contact
FOCUS APPRAISAL MANAGEMENT GROUP INC,P.O. BOX 824823,,,PEMBROKE PINES,FL,33082,418,2/2/2023,11/30/2026,AMC Contact
"ATLAS VMS, INC",861 SILVER LAKE BLVD.,DE DIV. OF PROF. REGULATION,STE. 203,DOVER,DE,19904,421,4/4/2023,11/30/2026,AMC Contact
"ZAP APPRAISALS, LIMITED LIABILITY COMPANY",1029 CHESTER RD.,,,MIDDLE RIVER,MD,21220,419,3/21/2023,11/30/2026,AMC Contact
APPRAISAL 3000 INC,9916 CARRARA CIRCLE,,,CYPRESS,CA,90630,420,3/27/2023,11/30/2026,AMC Contact
"MOSAIC VALUATION SERVICES, LLC",10550 WINTERFLOWER WAY,,,PARKER,CO,80134,425,5/19/2023,11/30/2026,AMC Contact
