Record ID,Company name,Company owner,Company Domain Name,Create Date,Phone Number,Last Activity Date,City,Country/Region,Industry,Company Type,Last Engagement Date,Postal Code,Street Address,Street Address 2,State/Region,Website URL,Description,Annual Revenue
20676778332,Rapid Appraisal Management System,Sherrard Haugabrooks,,5/7/24 10:27,,2/3/25 15:03,,,,AMC Contact,2/4/25 12:07,,,,,,,
20786383627,Mountainseed,Sherrard Haugabrooks,mountainseed.com,5/13/24 12:47, +1 404-973-2568,1/16/25 13:25,Atlanta,United States,Mechanical or Industrial Engineering,AMC Contact,1/16/25 11:50,30339,2100 Powers Ferry Road,410,GA,mountainseed.com,"MountainSeed is a technology-enabled real estate services organization that provides nationwide commercial and residential appraisal management and advisory services for financial institutions. With over 2,800 bankers as clients, MountainSeed has exten...",50000000
21529900341,"Consolidated Analytics, Inc",Sherrard Haugabrooks,www.consolidatedanalytics.com,6/20/24 18:49,,10/14/25 20:11,Santa Ana,United States,Real Estate,AMC Contact,10/14/25 17:45,92707,1 Mac Arthur Place,# 100,CA,www.consolidatedanalytics.com,"Consolidated Analytics delivers end-to-end mortgage services and real estate finance solutions, optimizing loan quality and operational efficiency through data, technology, and expert insights.",100000000
20805156719,E Street Appraisal Management,Sherrard Haugabrooks,estreetamc.com,5/14/24 11:44,,4/17/25 0:00,"Wexford, ",,Real Estate,AMC Contact,,15090,,,PA ,estreetamc.com,,
37393509411,Beneiah Home Builders,Rod Haugabrooks,www.BenaiahHomeBuilders.com,8/6/25 17:36,,8/6/25 17:32,,,,Builder,,,,,,www.BenaiahHomeBuilders.com,,
37393507477,Avatar Vision Fund,Rod Haugabrooks,www.AvatarVisionFund.com,8/6/25 17:05,,,,,,Co-GP,,,,,,www.AvatarVisionFund.com,,
22264599101,"Bogin, Munns & Munns",,boginmunns.com,8/6/24 11:40, +1(855) 780-9986,8/20/24 13:57,Orlando,United States,Legal Services,General Law Firm,,32801,1000 Legion Pl,1000,Florida,http://www.boginmunns.com,"Bogin, Munns & Munns P.A. is a full-service law firm based in Orlando, Florida. With over 40 years of experience, the firm represents clients throughout the state of Florida. They offer a wide range of legal services, including personal injury, real es...",10000000
19124036706,i Fund Cities LLC,Rod Haugabrooks,ifundcities.com,2/16/24 13:38,,10/22/25 15:17,Philadelphia,United States,Financial Services,Non-QM Lender Contact,10/23/25 15:59,19103,408 North 10th Street,402,PA,ifundcities.com,i Fund Cities offers loans for investors with a reliable and simplified process to keep you moving.,10000000
21278604547,FidusFi,Rod Haugabrooks,fidusfi.com,6/5/24 19:10,,8/21/24 16:10,Orlando,United States,Financial Services,Non-QM Lender Contact,8/22/24 9:22,32801,390 North Orange Avenue,#2300,FL,fidusfi.com,"FidusFi is a fintech company that provides investment financing for real estate investors. They have redesigned the investor's process, making it simple and transparent. Borrowers can easily submit documents and information through their secure online ...",10000000
22329380022,Cashflow Connections,,cashflowconnections.com,8/9/24 14:05, +1(877) 797-3595,8/9/24 13:04,Los Angeles,United States,Real Estate,Non-QM Lender Contact,,90036,5550 Wilshire Boulevard,,California,http://www.cashflowconnections.com,Cash Flow Connections offers insights into commercial real estate through top industry interviews on a real estate podcast.,1000000
22286958232,HIS Capital,,hiscapitalgroup.com,8/7/24 10:56, +1 407-378-2777,8/15/24 13:56,Orlando,United States,Real Estate,Non-QM Lender Contact,9/11/24 19:01,32837,2151 Consulate Dr,Suite 6,Florida,http://www.hiscapitalgroup.com,"HIS Capital Group is an Orlando-based private real estate investment group supported by their lending firm, HIS Capital Funding. With over 110 years of combined expertise in real estate law, project development, building, management, and private lendin...",10000000
22088688237,NFM Lending,,nfmlending.com,7/26/24 13:40, +1 410-347-9988,8/9/24 14:23,Linthicum Heights,United States,Real Estate,Non-QM Lender Contact,,21090,1190 Winterson Rd,100,Maryland,http://www.nfmlending.com,NFM Lending offers a seamless home loan experience with a focus on technology and exemplary service.,500000000
19332365367,Lima One Capital,,www.limaone.com,3/1/24 14:43, +1 404-908-0080,12/5/24 17:32,Greenville,United States,Real Estate,Non-QM Lender Contact,12/6/24 9:52,29601,201 East McBee Avenue,300,SC,www.limaone.com,"Lima One Capital is the nation's premier hard money lender for fix and flip, rental, multifamily, and investment property loans. They offer a wide range of financing options for real estate investors, including fix and flip, bridge loans, fix2rent, gro...",100000000
39309391737,United Realty Group,Rod Haugabrooks,www.urgfl.com,9/10/25 11:07,,,Plantation,,,Real Estate Broker,,33324,,,FL,www.urgfl.com,,
31415346863,ADAN ORDONEZ PA.,Rod Haugabrooks,adanordonez.com,3/25/25 13:47,,10/15/25 17:03,,,,Real Estate Dealer,10/17/25 9:43,,,,,adanordonez.com,,
29667588671,Optimal Offers,Rod Haugabrooks,optimoffers.com,2/6/25 12:50, +1 407-243-8222,2/6/25 14:54,Orlando,United States,Real Estate,Real Estate Dealer,3/19/25 18:44,32804,1700 North Orange Avenue,100a,FL,optimoffers.com,"Optimal Offers is a Florida-based company that buys houses in any condition. They provide free home valuations and cash offers within 24 hours, making the selling process quick and easy for homeowners.",
